Project,Trip,StationID,Profiler in [DateUTC],Profiler in [TimeUTC],Profiler out [TimeUTC],Profiler in [Lat],Profiler in [Lon],Filename,InstrumentType,,,Cast Depth Screen (m),Depth Sounder (m),Total Depth (m),Comment,UWA Bottles,LISST Raw Filename,,LISST NC Filename,,UWA Niskin Bottle No. + Depth (m)
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,1:46,1:57,,,UWAD_transect_001,Solander CTD,,,142,147,149,"Site D1, CSIRO 6 bottles",,L0970144,,L0970144_rs,,
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,3:06,3:16,,,UWAD_transect_002,Solander CTD,,,166,174,176,Site D2,,L0970304,,L0970304-A_rs,,
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,3:16,3:24,,,UWAD_transect_003,Solander CTD,,,166,178,180,,,L0970304,,L0970304-B_rs,,
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,3:24,3:33,,,UWAD_transect_004,Solander CTD,,,172,173,175,UWA 10 bottles,,L0970304,,L0970304-C_rs,,"172 (1+2), 141 (3+4), 111 (5+6), 81 (7+8), 51 (9+10)"
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,4:05,4:15,,,UWAD_transect_005,Solander CTD,,,180,189,191,Site D3,,L0970400,,L0970400-A_rs,,
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,4:16,4:25,,,UWAD_transect_006,Solander CTD,,,183,197,199,,,L0970400,,L0970400-B_rs,,
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,5:20,5:32,,,UWAD_transect_007,Solander CTD,,,204,213,215,Site D4,,L0970514,,L0970514_rs,,
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,6:51,7:03,,,UWAD_transect_008,Solander CTD,,,225,230,232,Site D5,,L0970646,,L0970646-A_rs,,
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,7:04,7:13,,,UWAD_transect_009,Solander CTD,,,227,235,237,,,L0970646,,L0970646-B_rs,,
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,7:49,8:01,,,UWAD_transect_010,Solander CTD,,,242,251,253,Site D6,,L0970744,,L0970744-A_rs,,
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,8:01,8:14,,,UWAD_transect_011,Solander CTD,,,248,252,254,,,L0970744,,L0970744-B_rs,,
,,,,,,,,,,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr,2/04/2017,22:10,,-13.76905,123.35206,UWA_005,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr,2/04/2017,22:28,,-13.76217,123.34339,UWA_006,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr,3/04/2017,0:10,,-13.77234,123.34905,UWA_007,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr,3/04/2017,0:59,,-13.77459,123.34506,UWA_008,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr,3/04/2017,2:22,,-13.7695,123.35364,UWA_009,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr,3/04/2017,4:04,,-13.77001,123.35474,UWA_010,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr,3/04/2017,5:59,,-13.77075,123.35319,UWA_011,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,,,,,,,UWA_012,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr,3/04/2017,8:00,,-13.76772,123.34908,UWA_013,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,,,,,,,UWA_014,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,,,,,,,UWA_015,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,UWAB_transect,5/04/2017,2:10,,-14.23525,123.29208,UWA_016,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,UWAB_transect,5/04/2017,2:45,,-14.22421,123.28252,UWA_017,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,UWAB_transect,5/04/2017,4:45,,-14.21321,123.26593,UWA_018,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,UWAB_transect,5/04/2017,6:50,,-14.20002,123.24104,UWA_019,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,UWAB_transect,5/04/2017,7:47,,-14.17875,123.21392,UWA_020,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,5/04/2017,21:51,,-13.76931,123.35479,UWA_021,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,5/04/2017,22:04,,-13.7692,123.35561,UWA_022,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,5/04/2017,23:04,,-13.76954,123.35519,UWA_023,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,0:08,,-13.76812,123.35592,UWA_024,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,0:21,,-13.76598,123.35597,UWA_025,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,2:09,,-13.76925,123.35728,UWA_026,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,2:17,,-13.76908,123.35719,UWA_027,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,2:24,,-13.76866,123.35682,UWA_028,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,3:24,,-13.76838,123.357,UWA_029,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,5:14,,-13.76592,123.35569,UWA_030,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,5:21,,-13.76592,123.35569,UWA_031,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,6:40,,-13.77077,123.34959,UWA_032,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,7:30,,-13.77084,123.3531,UWA_033,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,8:00,,-13.77039,123.3522,UWA_034,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,8:51,,-13.77088,123.35331,UWA_035,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,2:48,,-14.24766,123.0456,UWA_036,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,3:52,,-14.24175,123.04192,UWA_037,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,4:56,,-14.23913,123.04561,UWA_038,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,6:22,,-14.23576,123.04538,UWA_039,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,UWAD_transect,7/04/2017,7:23,,-14.2295,123.04568,UWA_040,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,,,,,,,UWA_041,rockland_vmp_250,,,,,,,,,,,,
KISSME2017,KISSME2017Deployment,,,,,,,UWA_042,rockland_vmp_250,,,,,,,,,,,,
